_id_,_id2_,comp_mixto1
92783,2134009,0.35975999999999997
17499,402477,0.28126
18561,426903,0.338
44722,1028606,0.33548
76592,1761616,0.2718
80583,1853409,0.37
9309,214107,0.31434
24503,563569,0.28172
64185,1476255,0.36774
80611,1854053,0.37932
93920,2160160,0.34928
24364,560372,0.35082
26386,606878,0.3693
20769,477687,0.30136
25137,578151,0.36
41134,946082,0.3
38826,892998,0.37
15651,359973,0.30413999999999997
2156,49588,0.26438
29170,670910,0.35603999999999997
96429,2217867,0.35728
32568,749064,0.34
43382,997786,0.348
34519,793937,0.32572
324,7452,0.3765
4916,113068,0.34
3895,89585,0.27952
24841,571343,0.34
46842,1077366,0.35834000000000005
81717,1879491,0.35172000000000003
75236,1730428,0.29386
94819,2180837,0.30388
90448,2080304,0.36986
77871,1791033,0.28572000000000003
22332,513636,0.37
52558,1208834,0.38
12758,293434,0.33334
42693,981939,0.36
55826,1283998,0.33292
45550,1047650,0.30778
10693,245939,0.36460000000000004
95866,2204918,0.31032
70624,1624352,0.37
24202,556646,0.368
10864,249872,0.34
69759,1604457,0.31232
47941,1102643,0.368
94534,2174282,0.36
55457,1275511,0.32726
1332,30636,0.35120000000000007
27516,632868,0.38
18860,433780,0.34
52260,1201980,0.31538
61507,1414661,0.33
11434,262982,0.33534
84101,1934323,0.36174
49595,1140685,0.31407999999999997
70327,1617521,0.30460000000000004
55524,1277052,0.36960000000000004
35020,805460,0.36396000000000006
85223,1960129,0.28876
41331,950613,0.37696
42174,970002,0.34
13130,301990,0.38
93118,2141714,0.31544
40871,940033,0.36736
66537,1530351,0.31501999999999997
38174,878002,0.22
23957,551011,0.352
44385,1020855,0.38
51901,1193723,0.36988
97757,2248411,0.33236
93345,2146935,0.32472
55597,1278731,0.36
14357,330211,0.36448
91327,2100521,0.3
89307,2054061,0.325
20666,475318,0.3
93534,2151282,0.37
34792,800216,0.34426
96708,2224284,0.29208
71757,1650411,0.3491
49972,1149356,0.38
18313,421199,0.36932
